country,width,state,region,index,text,href,url,visible,status,final_url
india,1440,default,main,27,Request a Quote,/request-a-quote/?destination_country=India&source_page_id=MARKET-IN-001,http://127.0.0.1:3029/request-a-quote/?destination_country=India&source_page_id=MARKET-IN-001,True,200,http://127.0.0.1:3029/request-a-quote?destination_country=India&source_page_id=MARKET-IN-001
india,1440,default,footer,28,Home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
india,1440,default,footer,29,Markets,/markets/,http://127.0.0.1:3029/markets/,True,200,http://127.0.0.1:3029/markets/
india,1440,default,footer,30,Products,/products/,http://127.0.0.1:3029/products/,True,200,http://127.0.0.1:3029/products
india,1440,default,footer,31,Applications,/applications/,http://127.0.0.1:3029/applications/,True,404,http://127.0.0.1:3029/applications
india,1440,default,footer,32,Documents,/documents/,http://127.0.0.1:3029/documents/,True,200,http://127.0.0.1:3029/documents
india,1440,default,footer,33,Resources,/resources/,http://127.0.0.1:3029/resources/,True,200,http://127.0.0.1:3029/resources
india,1440,default,footer,34,About,/about/,http://127.0.0.1:3029/about/,True,200,http://127.0.0.1:3029/about
india,1440,default,footer,35,Request a Quote,/request-a-quote/,http://127.0.0.1:3029/request-a-quote/,True,200,http://127.0.0.1:3029/request-a-quote
india,1440,default,footer,36,Privacy Policy,/privacy-policy/,http://127.0.0.1:3029/privacy-policy/,True,200,http://127.0.0.1:3029/privacy-policy
india,1440,default,footer,37,Dasar Privasi (BM),/ms/privacy-policy/,http://127.0.0.1:3029/ms/privacy-policy/,True,200,http://127.0.0.1:3029/ms/privacy-policy
india,1440,default,footer,38,Cookie Policy,/cookie-policy/,http://127.0.0.1:3029/cookie-policy/,True,200,http://127.0.0.1:3029/cookie-policy
india,768,default,header,0,TiO2 Malaysia home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
india,768,default,header,1,Home,/,http://127.0.0.1:3029/,False,200,http://127.0.0.1:3029/
india,768,default,header,2,Markets,/markets/,http://127.0.0.1:3029/markets/,False,200,http://127.0.0.1:3029/markets/
india,768,default,header,3,Products,/products/,http://127.0.0.1:3029/products/,False,200,http://127.0.0.1:3029/products
india,768,default,header,4,Applications,/applications/,http://127.0.0.1:3029/applications/,False,404,http://127.0.0.1:3029/applications
india,768,default,header,5,Documents,/documents/,http://127.0.0.1:3029/documents/,False,200,http://127.0.0.1:3029/documents
india,768,default,header,6,Resources,/resources/,http://127.0.0.1:3029/resources/,False,200,http://127.0.0.1:3029/resources
india,768,default,header,7,About,/about/,http://127.0.0.1:3029/about/,False,200,http://127.0.0.1:3029/about
india,768,default,header,8,RFQ,/request-a-quote/,http://127.0.0.1:3029/request-a-quote/,True,200,http://127.0.0.1:3029/request-a-quote
india,768,default,header,9,Home,/,http://127.0.0.1:3029/,False,200,http://127.0.0.1:3029/
india,768,default,header,10,Markets,/markets/,http://127.0.0.1:3029/markets/,False,200,http://127.0.0.1:3029/markets/
india,768,default,header,11,Products,/products/,http://127.0.0.1:3029/products/,False,200,http://127.0.0.1:3029/products
india,768,default,header,12,Applications,/applications/,http://127.0.0.1:3029/applications/,False,404,http://127.0.0.1:3029/applications
india,768,default,header,13,Documents,/documents/,http://127.0.0.1:3029/documents/,False,200,http://127.0.0.1:3029/documents
india,768,default,header,14,Resources,/resources/,http://127.0.0.1:3029/resources/,False,200,http://127.0.0.1:3029/resources
india,768,default,header,15,About,/about/,http://127.0.0.1:3029/about/,False,200,http://127.0.0.1:3029/about
india,768,default,header,16,Request a Quote,/request-a-quote/,http://127.0.0.1:3029/request-a-quote/,False,200,http://127.0.0.1:3029/request-a-quote
india,768,default,main,17,Home,/,http://127.0.0.1:3029/,True,200,http://127.0.0.1:3029/
india,768,default,main,18,Markets,/markets/,http://127.0.0.1:3029/markets/,True,200,http://127.0.0.1:3029/markets/
india,768,default,main,19,Request a Quote,/request-a-quote/?destination_country=India&source_page_id=MARKET-IN-001,http://127.0.0.1:3029/request-a-quote/?destination_country=India&source_page_id=MARKET-IN-001,True,200,http://127.0.0.1:3029/request-a-quote?destination_country=India&source_page_id=MARKET-IN-001
india,768,default,main,20,Explore Products,/products/,http://127.0.0.1:3029/products/,True,200,http://127.0.0.1:3029/products
india,768,default,main,21,Explore Products,/products/,http://127.0.0.1:3029/products/,True,200,http://127.0.0.1:3029/products
india,768,default,main,22,Product Hub,/products/,http://127.0.0.1:3029/products/,True,200,http://127.0.0.1:3029/products
india,768,default,main,23,quotation request,/request-a-quote/?destination_country=India&source_page_id=MARKET-IN-001,http://127.0.0.1:3029/request-a-quote/?destination_country=India&source_page_id=MARKET-IN-001,True,200,http://127.0.0.1:3029/request-a-quote?destination_country=India&source_page_id=MARKET-IN-001
